trajectory_id,mmsi,points,ade_km,median_error_km,max_error_km,fde_km
1,205097000,246,0.059685721541429856,0.044816451621463166,0.4288526429322342,0.33518746020071905
2,205097000,198,0.042853690252916736,0.03032227569001357,0.2109611660391411,0.2109611660391411
7,205680000,227,0.04557317060710178,0.027992211280026814,0.3775786923677388,0.12807640420150254
11,205689000,245,0.10622834269497251,0.06214485076622808,0.7728103284350749,0.2695611622050938
12,205689000,267,0.08523945337811863,0.03622643353520869,0.6094286776747916,1.0206372352215528e-13
14,205769000,358,0.043760753661489765,0.031122255055671733,0.33816128810607865,0.009878170014948368
15,205795000,258,0.0664497989024622,0.021174360633638287,0.86867715121941,0.38418181970022175
16,205795000,226,0.05269468911761347,0.02676770430093803,0.6859607654145381,0.06785122973803168
17,205795000,324,0.05129009507938463,0.027579471592653483,0.8471045656012035,0.2745223762477432
18,205795000,285,0.04567979684560959,0.03053944168137071,0.547575718605525,0.244598092124215
19,205795000,209,0.0449425464223498,0.01581065104626741,0.6133203405663537,0.01445230583681347
20,205795000,209,0.028429643915065285,0.019823439903600016,0.28487273548939346,0.0
21,209014000,204,0.029745714622088606,0.017308016834543805,0.18279896789549427,0.009057799162930535
22,209014000,204,0.041602211184320795,0.02770424674197999,0.4224575985687622,0.1747125313865293
23,209014000,68,0.06784907401349279,0.04769137652617311,0.4038495922275977,0.08273186318988708
24,209014000,202,0.0460417256477439,0.03190874039284571,0.20943734253143176,0.0032880313858135377
25,209014000,202,0.02490140407066161,0.01468772348634103,0.32237367353262325,7.073240659849489e-13
26,209066000,311,0.04439213466510709,0.023818333364294557,0.5203781369627187,7.073240659849489e-13
27,209066000,285,0.04087141580116526,0.028068788643151037,0.37195331930848924,0.17393633946270998
28,209072000,196,0.03191320525763028,0.02557813812000085,0.18164893109659233,0.03191645708112668
29,209072000,196,0.041263781270357715,0.019485065822768134,0.41399719957664416,7.145749184316715e-13
30,209072000,50,0.09300410484695912,0.052709777576967556,0.4580416628709794,0.07324179939075239
31,209075000,296,0.036238868760224065,0.022366582397139935,0.3509940548877856,0.024450797876442224
32,209075000,277,0.04188460804006306,0.021127314324389326,0.8567547113916845,0.07491270483633884
35,209075000,296,0.03700402431478957,0.012568230887549778,0.8146726348331966,0.2963708531478248
38,209114000,353,0.04166502015367527,0.02602227584962785,0.3215884729859268,0.10036604346444614
40,209114000,49,0.06797298404910117,0.05445031785438955,0.2705990703637285,0.08457835385221694
41,209114000,275,0.040410433848653685,0.023196330473971946,0.6486081779918704,0.1308111497746817
42,209114000,336,0.033361381888258865,0.021327844123977282,0.3407959684624624,0.09077987714396483
45,209114000,179,0.03227304599271288,0.02247775144702481,0.46151844683573434,0.008665989483070324
46,209114000,178,0.05561839940053233,0.03241472386957632,0.5448618024219244,0.2853999793768691
48,209114000,354,0.041215147970047224,0.021797898406350283,0.37232324507391185,0.29379366204333235
50,209143000,262,0.06857495021506918,0.03576175618429121,0.7764520543725334,0.28665032620576386
51,209143000,218,0.040763119316556254,0.02719253038862666,0.3161786752831199,7.073240659849489e-13
53,209143000,269,0.05186942299996157,0.03581093552171096,0.39456085613981634,0.23584040282401442
54,209151000,274,0.041729161790276754,0.025137949764569636,0.460691684277285,0.24925754374273876
57,209151000,282,0.03869957619159091,0.023725810841844913,0.616367140199248,7.073240659849489e-13
58,209151000,275,0.05613493775735559,0.03577056304836561,0.6543378129825945,7.699769297039201e-13
60,209179000,183,0.06569057241932347,0.044205453593179046,0.7705473383480738,0.052267537955787105
62,209183000,60,0.08707590734036777,0.05068191625613902,0.5191797888787573,0.005779821076779375
63,209183000,117,0.12506131210580504,0.07084002677001641,0.7775605442579395,0.029324750219236407
65,209183000,68,0.07860139610581844,0.05816427147695971,0.4093461491524005,0.01068006798056935
66,209183000,54,0.16417087216686,0.051878350454028596,1.0034025132503608,0.0
69,209183000,60,0.10235874826206805,0.045395114049919916,1.0965523839978317,0.1178597511816103
70,209183000,55,0.12207526064735687,0.07907849028866255,0.5886857882427305,0.3784757142812706
71,209183000,52,0.08395899700984079,0.05722824204919462,0.31515853723220333,0.05012355883065601
73,209183000,63,0.07440298814583703,0.06408649511734552,0.3617838212497627,0.015511706978609987
74,209183000,55,0.11654948496404148,0.07333460658716941,0.6450549292747134,0.59431506763011
77,209183000,58,0.13763612245407397,0.08735503597884925,1.1406932748182674,0.01681402343060699
78,209183000,71,0.188112997373298,0.1292332873734711,1.0742516738050691,7.146134327705898e-13
82,209183000,109,0.08271151949150804,2.1314681333214314e-12,0.7149116441222162,7.144262963660676e-13
83,209183000,56,0.09582548373532238,0.07110183510548151,0.4618910726069839,1.0153478552689233e-13
84,209183000,55,0.15196363445071798,0.10758799166978579,0.7891012152187762,0.04520974258198098
87,209183000,62,0.10962877551284043,0.06869951594401155,0.6205401542920634,7.353215138923276e-13
88,209183000,66,0.13522237968249617,0.07397956086977973,0.80173821379106,7.073240659849489e-13
91,209183000,56,0.13939965650328526,0.07123323861304115,1.1484018595612489,0.16173524470043432
92,209183000,112,0.1231219403644969,0.0885623223936734,0.9656328757376421,0.08809008023489241
94,209183000,59,0.10049828201180637,0.07518561313875337,1.0254374565138427,7.144262963660676e-13
95,209183000,55,0.1417211202085702,0.08295128390229281,0.7657414660080091,0.39821079518175106
98,209183000,63,0.07433556781267565,0.04962466681035548,0.595060254024205,0.0
99,209183000,51,0.1223747219134604,0.05565937848974273,1.022953466336641,0.1670115083758022
100,209183000,48,0.15542058962252864,0.08863950815468159,0.8090839351474562,0.27140680883685264
102,209183000,67,0.08693145070414085,0.048681907660521336,0.3665412290105633,1.0048680817826804e-13
103,209183000,60,0.09182699257089673,0.06179500705217608,0.7033354176936417,1.0157015778166796e-13
104,209183000,55,0.1241681208046845,0.09048901774721457,0.766744005206773,0.12894786675198713
106,209183000,66,0.10324574821789821,0.07152937994775688,0.4673920379196103,0.007502376946404232
107,209183000,107,0.07410418626904253,0.053038353695490044,0.46696949304368124,0.46696949304368124
108,209183000,117,0.09943031138743084,0.06546845389909936,0.7219241553829435,0.016873540627337
109,209183000,107,0.14947065362691506,0.09488152397497883,1.0673215938812057,0.4650699793233481
111,209183000,76,0.1321183186024872,0.04650341133329085,1.192112150258436,0.005001209062874217
112,209183000,103,0.11446805661982294,0.06555652486305172,1.0270574947570965,0.018771673813973266
113,209183000,114,0.11123434224562921,0.06545468205628449,0.535946444116107,0.005840626905850128
114,209183000,104,0.16408799342153557,0.09882125143096326,1.2644009283116913,0.404370872022473
116,209183000,78,0.10406507259491171,0.06622380523023726,0.6024739612905271,0.00336662605424622
117,209183000,103,0.1771582468099049,0.09148922104613164,0.9446151634544455,0.659228861425246
119,209183000,55,0.08509797030301038,0.041424730821928775,0.4586644814396666,0.008116456984711227
120,209183000,53,0.1226459206376415,0.08484129552685866,0.6597310866292675,0.5843222577435556
121,209183000,48,0.14289275488571543,0.09827322347978734,0.684277976945564,0.684277976945564
123,209183000,53,0.09384686564532099,0.0633381758287328,0.46639821022287103,0.004287955396017365
124,209183000,61,0.13497890128626408,0.09536143153723928,0.5366120771466719,7.14581004832017e-13
127,209183000,64,0.14978473037136764,0.07855478299957075,0.9882334739428122,0.011992592735500794
128,209183000,118,0.14182573953302202,0.1008447890672616,0.7166829189376405,0.03161465808403511
130,209183000,61,0.06091235396528919,0.0449163200210517,0.1957266294122536,0.005486213128478309
131,209183000,65,0.11979633749316104,0.06701592239824407,0.5252622476815201,3.051794429079258e-13
140,209184000,263,0.05900678593297134,0.03241888723324332,0.6689856532962958,0.1870364399948679
142,209184000,219,0.07437265137545639,0.02671877840466017,0.8902471842325524,0.4140107639881308
143,209184000,49,0.14183388748471337,0.07313840076877617,0.7244589932360127,0.2783146714938335
144,209185000,129,0.08098484278362848,0.049776813826604316,0.46394644858469314,1.4712256388040321e-12
146,209211000,182,0.04349630786688291,0.032350092436944956,0.22533267808288193,0.019733534695714053
147,209211000,182,0.032201848235214756,0.025206762416008867,0.24092069388917883,0.16319256956531758
148,209211000,181,0.04529234085800546,0.019501699243138222,0.8570729727290977,0.024243763298636152
149,209211000,181,0.04066436170014571,0.02401932905735732,0.24582980974277996,0.06011784482194558
150,209214000,314,0.03894743396486288,0.02275274342842402,0.36000256975481193,0.08569620729599772
151,209217000,217,0.06944918082761091,0.04517068933003233,0.3841694405431989,0.3016728681145876
152,209217000,233,0.0661985907166842,0.046764216396424384,0.4288158630063689,0.09991709589100264
157,209239000,282,0.04435282914632024,0.018959499300181613,0.5837185940719426,1.4699911822204036e-12
158,209239000,304,0.04071379147191585,0.027119625037339917,0.4447020946070127,7.145746311988724e-13
160,209275000,272,0.02313229914811165,0.01672659751524934,0.2422737795132694,0.005500500702934723
161,209275000,272,0.03136754617152252,0.02091214857465413,0.23653465432575213,0.05088535880417878
163,209276000,219,0.04855458005331044,0.03570280332682309,0.35978498957613125,0.04859144946219343
