model,horizon_steps,evaluated_points,mean_error_km,median_error_km,rmse_km,p90_error_km,p95_error_km,mean_ade_km,mean_fde_km
Constant Velocity,1,3247,0.05636785544819798,0.02699014411058839,0.1090124417483883,0.12597996352863255,0.20878327892461868,0.07454579030416686,0.17808892824874295
CatBoost,1,3247,0.04437986337982703,0.03000304467025706,0.06820547405045439,0.08786073035386625,0.13160347740089254,0.055367005900094066,0.13441029389250964
Constant Velocity,3,3207,0.1438362534381778,0.06878980901541935,0.2673889270808249,0.3395107545614865,0.5840274077253672,0.1966032313707536,0.40125606641079264
CatBoost,3,3207,0.09785312771289088,0.07257907846071819,0.13735669143736542,0.19018887929048628,0.266771541322127,0.11862215771059759,0.1539388945047057
Constant Velocity,5,3167,0.2506305182628577,0.12558061211852553,0.45590481821162837,0.5830721443463485,1.0169999072737343,0.3444866709867476,0.45820746308735194
CatBoost,5,3167,0.175766844186048,0.12684120440503782,0.25144293223268144,0.36880568191712304,0.4554474361106631,0.2106656988758775,0.2079046608993631
Constant Velocity,10,3067,0.5556513090178713,0.268985484749265,0.9963099558674263,1.3233144273841635,2.1802326044650058,0.7647090357382467,1.1938409574922573
CatBoost,10,3067,0.4698964434201641,0.35476791755450104,0.6185676490607902,0.9754298040611203,1.232843161662707,0.5391005312975137,0.415745873911059
