horizon_steps,evaluated_points,mean_error_km,median_error_km,rmse_km,p90_error_km,p95_error_km,mean_ade_km,mean_fde_km
1,16065,0.06221585694804141,0.030911251744619738,0.11625513571898963,0.14524688401869337,0.2271015449317749,0.08102406232524756,0.12303803175754437
3,15865,0.16071867710438667,0.08081307548717027,0.2866326463319288,0.3749097077535356,0.6140944059368159,0.2154147861863863,0.340177920113321
5,15665,0.28062822309751756,0.14200187347295795,0.49614754781072473,0.665296776169354,1.1122566234392985,0.38071940751528205,0.5241294909552955
10,15165,0.6315083223016908,0.3010641070052234,1.1269170223471345,1.537782962178347,2.6023090254366283,0.8740740405514891,1.4405952211076019
