trajectory_id,mmsi,timestamp,latitude,longitude,sog,cog,speed_change,course_change,distance_from_previous_km,calculated_speed_kmh,time_delta_seconds,isolation_anomaly,anomaly_score
1,205097000,2021-12-05 13:16:29+00:00,54.869200000000006,13.3440375,6.674916088581085,72.625,0.06430548429489136,2.7249984741210938,0.8778306675139491,26.334920025418473,120.0,False,-0.2676349122680282
1,205097000,2021-12-05 13:18:29+00:00,54.87111666666666,13.354599999999998,6.63204578558604,72.54166666666667,0.042870302995044796,0.08333333333331439,0.7086504478877403,21.25951343663221,120.0,False,-0.33433011370060994
1,205097000,2021-12-05 13:20:29+00:00,54.87335454545455,13.366681818181815,6.626979307694868,71.9090909090909,0.005066477891172205,0.6325757575757507,0.8120818695935865,24.362456087807598,120.0,False,-0.3244873076070101
1,205097000,2021-12-05 13:22:29+00:00,54.87550909090909,13.378118181818182,6.617625800046054,72.08181832053445,0.009353507648814485,0.17272741144353176,0.7699033631315281,23.097100893945843,120.0,False,-0.34098471873601005
1,205097000,2021-12-05 13:24:29+00:00,54.87777000000001,13.39007,6.595177268981933,71.73000030517578,0.02244853106412048,0.3518180153586741,0.804885132732091,24.14655398196273,120.0,False,-0.33196713084430574
1,205097000,2021-12-05 13:26:29+00:00,54.87993846153847,13.401630769230769,6.580931149996244,72.07692190317007,0.014246118985688838,0.3469215979943101,0.7778724749336503,23.33617424800951,120.0,False,-0.34080397944420765
1,205097000,2021-12-05 13:28:29+00:00,54.882233333333325,13.413808333333336,6.636332829793294,71.74999936421712,0.055401679797049574,0.32692253895294243,0.8197030441216072,24.591091323648218,120.0,False,-0.32404912178402945
1,205097000,2021-12-05 13:30:29+00:00,54.88444166666668,13.425583333333334,6.627758781115214,72.36666742960612,0.008574048678079649,0.6166680653890069,0.7921966911266072,23.765900733798215,120.0,False,-0.33400038226981943
1,205097000,2021-12-05 13:32:29+00:00,54.88667,13.437459999999998,6.6723438739776615,71.85999908447266,0.04458509286244716,0.5066683451334484,0.799029006643071,23.97087019929213,120.0,False,-0.3299792782820147
1,205097000,2021-12-05 13:34:29+00:00,54.88886363636364,13.448809090909092,6.748575123873624,71.64545440673828,0.07623124989596253,0.21454467773438068,0.7657443474880232,22.972330424640695,120.0,False,-0.32418559872242314
