horizon_steps,feature,importance
1,latitude,1.1695385024480922
1,longitude,1.0966541094621092
1,sog,10.55480129838134
1,course_sin,47.0016442610554
1,course_cos,34.542108081399405
1,speed_change,0.33875655109357633
1,course_change,1.367612846765238
1,distance_from_previous_km,1.102852638961212
1,calculated_speed_kmh,1.8331599243407768
1,time_delta_seconds,0.0
1,hour_sin,0.4075151670905885
1,hour_cos,0.21474695634631097
1,day_of_week,0.3706096626559597
3,latitude,1.1278426269532935
3,longitude,1.355587436687448
3,sog,9.101006681236239
3,course_sin,46.710442296424674
3,course_cos,36.581492912276936
3,speed_change,0.2448392225960797
3,course_change,1.1512543896002505
3,distance_from_previous_km,1.1570806960370401
3,calculated_speed_kmh,1.6773484346331418
3,time_delta_seconds,0.0
3,hour_sin,0.32455989127476376
3,hour_cos,0.23300374633202553
3,day_of_week,0.3355416659481103
5,latitude,1.3021802948364245
5,longitude,1.7026081742208667
5,sog,9.105386356313197
5,course_sin,44.93519347577269
5,course_cos,37.81733671577348
5,speed_change,0.3042710406515467
5,course_change,1.0413764974365929
5,distance_from_previous_km,1.243131223101535
5,calculated_speed_kmh,1.525838756439414
5,time_delta_seconds,0.0
5,hour_sin,0.36308310593588267
5,hour_cos,0.25211100573313194
5,day_of_week,0.40748335378524325
10,latitude,1.988561575089955
10,longitude,2.8056712807068243
10,sog,7.872089223499558
10,course_sin,46.03318200996894
10,course_cos,36.403236906101455
10,speed_change,0.2460358216377968
10,course_change,0.6987001510242892
10,distance_from_previous_km,0.8706973394993744
10,calculated_speed_kmh,1.6475837348412212
10,time_delta_seconds,0.0
10,hour_sin,0.5798906220168061
10,hour_cos,0.28675262139485036
10,day_of_week,0.5675987142189401
