horizon_steps,mean_error_km_baseline,rmse_km_baseline,mean_ade_km_baseline,mean_fde_km_baseline,mean_error_km_catboost,rmse_km_catboost,mean_ade_km_catboost,mean_fde_km_catboost,improvement_percent,baseline_error_m,catboost_error_m
1,0.0563678554481979,0.1090124417483883,0.0745457903041668,0.1780889282487429,0.044379863379827,0.0682054740504543,0.055367005900094,0.1344102938925096,21.26742621845507,56.36785544819789,44.379863379827
3,0.1438362534381778,0.2673889270808249,0.1966032313707536,0.4012560664107926,0.0978531277128908,0.1373566914373654,0.1186221577105975,0.1539388945047057,31.969079161986784,143.8362534381778,97.8531277128908
5,0.2506305182628577,0.4559048182116283,0.3444866709867476,0.4582074630873519,0.175766844186048,0.2514429322326814,0.2106656988758775,0.2079046608993631,29.87013496827779,250.6305182628577,175.766844186048
10,0.5556513090178713,0.9963099558674264,0.7647090357382467,1.1938409574922573,0.4698964434201641,0.6185676490607902,0.5391005312975137,0.415745873911059,15.433215796662338,555.6513090178713,469.89644342016413
